,Open,High,Low,Close,5. volume
2005-01-03,522.0,526.0,520.05,524.9,237770.0
2005-01-04,529.6,530.0,517.3,519.3,677510.0
2005-01-05,515.0,519.0,490.0,498.5,954450.0
2005-01-06,490.0,500.8,461.15,485.35,1210560.0
2005-01-07,490.0,492.25,484.5,489.5,528100.0
2005-01-10,500.0,507.8,485.25,489.3,2123700.0
2005-01-11,489.0,498.8,479.15,482.25,278030.0
2005-01-12,485.0,490.0,475.0,479.45,317280.0
2005-01-13,482.0,507.95,481.0,499.65,1513150.0
2005-01-14,500.4,520.9,494.0,515.05,903540.0
2005-01-17,520.75,525.0,508.5,520.15,1348050.0
2005-01-18,522.0,525.0,509.0,512.35,488260.0
2005-01-19,509.85,523.0,509.85,518.7,633730.0
2005-01-20,515.0,518.4,499.0,509.6,2377120.0
2005-01-24,507.85,513.0,485.25,489.65,1572600.0
2005-01-25,493.0,539.45,493.0,518.65,4289630.0
2005-01-27,520.5,538.0,519.1,532.6,3980030.0
2005-01-28,534.0,542.5,522.5,539.45,1786290.0
2005-01-31,541.0,570.0,537.0,564.4,2276690.0
2005-02-01,567.0,570.0,550.65,561.1,840980.0
2005-02-02,567.5,568.0,551.1,554.65,432360.0
2005-02-03,557.0,574.8,556.5,572.4,724700.0
2005-02-04,574.9,577.9,563.0,565.3,999830.0
2005-02-07,572.0,572.1,552.0,560.95,437050.0
2005-02-08,556.5,575.0,556.25,570.25,433080.0
2005-02-09,579.0,589.85,576.1,588.05,1554740.0
2005-02-10,584.05,588.9,575.05,578.95,567810.0
2005-02-11,579.0,580.0,568.5,574.65,666760.0
2005-02-14,570.25,578.0,567.1,568.95,407040.0
2005-02-15,571.05,575.9,560.0,561.7,604850.0
2005-02-16,568.75,572.5,555.0,560.35,2553210.0
2005-02-17,560.0,564.0,555.0,558.15,279130.0
2005-02-18,560.0,567.0,559.6,564.8,1567090.0
2005-02-21,567.0,567.0,555.7,559.65,466760.0
2005-02-22,558.8,562.8,557.35,560.7,512810.0
2005-02-23,557.0,560.0,555.0,559.9,4745270.0
2005-02-24,563.0,578.5,559.05,576.1,1875680.0
2005-02-25,578.7,578.7,563.5,569.3,288850.0
2005-02-28,572.0,599.0,571.0,586.9,1980790.0
2005-03-01,589.0,589.0,571.25,576.65,1063030.0
2005-03-02,580.0,580.0,571.0,575.95,518910.0
2005-03-03,576.0,580.5,575.3,577.0,799410.0
2005-03-04,579.9,590.0,579.9,586.05,1477350.0
2005-03-07,589.7,605.0,586.25,601.15,1505630.0
2005-03-08,601.0,624.95,601.0,615.55,1186270.0
2005-03-09,615.0,624.75,609.0,618.25,837100.0
2005-03-10,615.0,629.95,612.05,615.1,117073998.0
2005-03-11,619.75,619.75,607.0,609.4,510520.0
2005-03-14,613.9,613.9,601.5,603.55,396650.0
2005-03-15,596.15,597.0,591.0,593.6,150470.0
2005-03-16,590.0,603.9,585.5,593.8,460610.0
2005-03-17,575.1,589.9,571.0,572.65,4295150.0
2005-03-18,572.0,574.0,562.0,566.1,879320.0
2005-03-21,582.4,582.4,556.35,560.1,427670.0
2005-03-22,552.5,558.0,547.0,550.75,763040.0
2005-03-23,550.0,551.0,525.0,531.35,1330870.0
2005-03-24,531.55,539.8,508.0,519.0,1349940.0
2005-03-28,535.0,538.0,530.55,534.7,153920.0
2005-03-29,530.0,539.95,525.0,536.6,264640.0
2005-03-30,538.5,538.5,526.0,532.8,670330.0
2005-03-31,539.75,549.0,536.05,544.25,313580.0
2005-04-01,544.95,556.0,541.0,551.9,328670.0
2005-04-04,550.3,556.5,545.2,552.1,355920.0
2005-04-05,553.0,563.0,540.0,542.2,320320.0
2005-04-06,544.7,555.0,540.55,552.7,265510.0
2005-04-07,560.0,568.9,555.7,561.75,241920.0
2005-04-08,561.0,565.0,539.1,546.85,4820230.0
2005-04-11,549.95,567.0,546.0,559.1,2453600.0
2005-04-12,563.9,563.9,550.15,558.35,427870.0
2005-04-13,569.0,573.25,558.55,562.2,1865780.0
2005-04-15,562.5,562.5,532.05,536.75,751450.0
2005-04-18,527.0,528.5,512.05,521.05,2679400.0
2005-04-19,530.0,535.4,527.0,530.9,1577030.0
2005-04-20,544.0,549.5,535.0,545.2,456530.0
2005-04-21,535.0,549.7,526.0,546.4,465190.0
2005-04-22,545.0,550.0,535.05,539.5,226210.0
2005-04-25,544.5,544.5,536.05,539.5,378170.0
2005-04-26,540.9,543.0,536.6,538.0,232470.0
2005-04-27,538.0,540.5,535.0,538.45,146780.0
2005-04-28,535.0,537.95,529.0,536.65,159090.0
2005-04-29,539.0,540.0,524.0,537.2,263500.0
2005-05-02,549.9,549.9,537.0,539.45,307580.0
2005-05-03,540.0,542.0,535.05,537.35,1769220.0
