,Open,High,Low,Close,5. volume
2005-01-03,352.4926,369.0648,352.4926,368.1158,23685839.0
2005-01-04,362.6256,369.37,358.8978,359.7788,20119882.0
2005-01-05,356.1866,361.948,349.917,359.169,33908526.0
2005-01-06,355.8478,363.6424,354.2208,356.4918,26893030.0
2005-01-07,357.8814,371.0984,357.576,366.591,33939683.0
2005-01-10,371.3018,375.3686,359.4062,361.6088,17497895.0
2005-01-11,362.7274,362.7274,354.5262,356.2544,15124265.0
2005-01-12,353.1366,359.8466,349.0694,351.3066,28942282.0
2005-01-13,353.1366,356.1866,351.781,352.5944,27158032.0
2005-01-14,353.8142,354.4922,346.4262,347.9514,26481737.0
2005-01-17,348.3918,351.103,342.3594,346.6636,33255272.0
2005-01-18,349.0694,353.9838,345.1724,346.528,48248866.0
2005-01-19,349.0694,351.137,346.3584,347.8156,25683436.0
2005-01-20,346.3584,348.8664,341.6814,346.494,25384627.0
2005-01-24,351.103,353.4754,342.3256,343.3084,32549871.0
2005-01-25,342.9696,345.9178,337.6826,339.8514,51507599.0
2005-01-27,342.2916,347.714,340.936,343.1048,39259645.0
2005-01-28,342.2916,355.1024,342.2916,354.3226,33198868.0
2005-01-31,354.831,362.4904,354.1534,361.033,20669559.0
2005-02-01,362.6256,370.7256,359.3044,367.777,41525717.0
2005-02-02,370.7596,371.0984,355.1698,361.8464,16445519.0
2005-02-03,362.6256,368.3872,362.6256,366.7602,8457706.0
2005-02-04,367.3704,369.675,360.9652,363.5406,14332296.0
2005-02-07,364.3204,365.947,353.1366,359.3382,9380476.0
2005-02-08,357.8814,363.4728,357.8814,361.5076,9198174.0
2005-02-09,362.6596,365.9808,362.1512,364.083,7441592.0
2005-02-10,366.0148,369.0648,360.2534,367.6418,11675235.0
2005-02-11,368.0484,374.0808,368.0484,371.8102,20958959.0
2005-02-14,372.1152,375.3686,365.0998,368.1498,14641151.0
2005-02-15,368.726,369.404,362.219,365.3034,15073765.0
2005-02-16,366.1166,368.5228,361.27,362.4564,11477975.0
2005-02-17,360.9992,364.3204,359.3382,362.6936,11002510.0
2005-02-18,366.0148,367.7092,360.2534,362.253,12369458.0
2005-02-21,362.2868,365.3034,360.118,361.8124,11053785.0
2005-02-22,359.9146,366.6928,359.9146,365.7778,11897175.0
2005-02-23,365.2694,372.6574,364.6592,371.471,16547343.0
2005-02-24,372.7926,375.3686,369.7428,370.522,49515994.0
2005-02-25,372.7926,373.301,364.795,365.947,13077145.0
2005-02-28,366.0148,379.5032,362.6936,376.8938,34191594.0
2005-03-01,377.5374,378.2154,369.0986,370.6238,17428279.0
2005-03-02,367.3704,373.8094,367.3704,371.9794,14383103.0
2005-03-03,372.7926,380.8248,372.7926,378.5202,17986880.0
2005-03-04,379.571,388.5516,379.571,387.6366,26122688.0
2005-03-07,389.06,399.295,388.3824,396.889,19817261.0
2005-03-08,396.889,402.0064,394.1436,400.2438,24450955.0
2005-03-09,403.2942,407.2252,395.94,398.1428,25470889.0
2005-03-10,397.8714,404.7854,394.4828,402.5822,15894889.0
2005-03-11,402.6162,407.293,396.6516,398.312,20312699.0
2005-03-14,398.5494,402.6162,389.9076,392.0764,14189405.0
2005-03-15,393.1272,395.7704,385.8744,386.7216,16996844.0
2005-03-16,385.7052,391.3646,384.6546,388.7552,19403707.0
2005-03-17,389.06,389.06,378.622,380.8926,18000561.0
2005-03-18,382.9602,388.6534,379.571,387.4674,17603854.0
2005-03-21,386.3488,389.06,378.2154,379.2658,11376313.0
2005-03-22,380.2486,380.2486,366.7264,369.0312,17231658.0
2005-03-23,366.6928,386.5864,365.947,374.928,53118414.0
2005-03-24,376.8598,384.9254,376.5206,379.6388,30021131.0
2005-03-28,381.6042,388.9248,380.3164,384.3496,14447373.0
