,Meta Data,Time Series (Daily)
1. Information,"Daily Prices (open, high, low, close) and Volumes",
2. Symbol,BHARTIARTL.BSE,
3. Last Refreshed,2024-10-11,
4. Output Size,Full size,
5. Time Zone,US/Eastern,
2024-10-11,,"{'1. open': '1678.1000', '2. high': '1690.6000', '3. low': '1659.1500', '4. close': '1683.3000', '5. volume': '181371'}"
2024-10-10,,"{'1. open': '1684.0500', '2. high': '1698.1000', '3. low': '1665.0000', '4. close': '1678.3000', '5. volume': '115106'}"
2024-10-09,,"{'1. open': '1669.9500', '2. high': '1704.3500', '3. low': '1661.6000', '4. close': '1679.4500', '5. volume': '106616'}"
2024-10-08,,"{'1. open': '1600.0000', '2. high': '1679.6000', '3. low': '1600.0000', '4. close': '1658.4000', '5. volume': '93463'}"
2024-10-07,,"{'1. open': '1656.9500', '2. high': '1669.4000', '3. low': '1643.6500', '4. close': '1663.1000', '5. volume': '787326'}"
2024-10-04,,"{'1. open': '1666.0500', '2. high': '1687.1000', '3. low': '1630.5000', '4. close': '1640.7500', '5. volume': '639730'}"
2024-10-03,,"{'1. open': '1650.2500', '2. high': '1695.0000', '3. low': '1650.2500', '4. close': '1675.8000', '5. volume': '112985'}"
2024-10-01,,"{'1. open': '1709.5500', '2. high': '1722.8000', '3. low': '1695.8500', '4. close': '1699.0500', '5. volume': '132736'}"
2024-09-30,,"{'1. open': '1712.3000', '2. high': '1732.0500', '3. low': '1704.2000', '4. close': '1709.9000', '5. volume': '511134'}"
2024-09-27,,"{'1. open': '1743.6000', '2. high': '1761.3000', '3. low': '1722.1000', '4. close': '1735.2500', '5. volume': '160148'}"
2024-09-26,,"{'1. open': '1764.9000', '2. high': '1778.9500', '3. low': '1746.2500', '4. close': '1769.9000', '5. volume': '606899'}"
2024-09-25,,"{'1. open': '1756.6500', '2. high': '1766.8000', '3. low': '1745.1000', '4. close': '1760.4500', '5. volume': '35612'}"
2024-09-24,,"{'1. open': '1753.9500', '2. high': '1767.0000', '3. low': '1746.1000', '4. close': '1756.1500', '5. volume': '92544'}"
2024-09-23,,"{'1. open': '1712.6000', '2. high': '1755.1000', '3. low': '1712.6000', '4. close': '1750.7500', '5. volume': '102538'}"
2024-09-20,,"{'1. open': '1672.0000', '2. high': '1723.2000', '3. low': '1665.9000', '4. close': '1712.3000', '5. volume': '860054'}"
2024-09-19,,"{'1. open': '1646.6500', '2. high': '1711.0000', '3. low': '1646.6500', '4. close': '1665.0500', '5. volume': '147529'}"
2024-09-18,,"{'1. open': '1654.7000', '2. high': '1670.9000', '3. low': '1647.1000', '4. close': '1652.6500', '5. volume': '47465'}"
2024-09-17,,"{'1. open': '1650.0000', '2. high': '1666.3500', '3. low': '1639.0500', '4. close': '1661.4500', '5. volume': '162290'}"
2024-09-16,,"{'1. open': '1631.7500', '2. high': '1652.7500', '3. low': '1631.7500', '4. close': '1635.4000', '5. volume': '80217'}"
2024-09-13,,"{'1. open': '1650.0500', '2. high': '1655.0000', '3. low': '1630.7000', '4. close': '1634.4500', '5. volume': '178489'}"
