,Meta Data,Time Series (Daily)
1. Information,"Daily Prices (open, high, low, close) and Volumes",
2. Symbol,TCS.BSE,
3. Last Refreshed,2024-10-11,
4. Output Size,Full size,
5. Time Zone,US/Eastern,
2024-10-11,,"{'1. open': '4140.0000', '2. high': '4240.0000', '3. low': '4112.6499', '4. close': '4150.6001', '5. volume': '285561'}"
2024-10-10,,"{'1. open': '4248.0498', '2. high': '4293.2998', '3. low': '4200.0000', '4. close': '4228.3999', '5. volume': '48517'}"
2024-10-09,,"{'1. open': '4274.6499', '2. high': '4295.0000', '3. low': '4245.6499', '4. close': '4252.2998', '5. volume': '24745'}"
2024-10-08,,"{'1. open': '4270.8501', '2. high': '4272.8501', '3. low': '4205.0000', '4. close': '4251.2998', '5. volume': '48326'}"
2024-10-07,,"{'1. open': '4265.0498', '2. high': '4297.2500', '3. low': '4229.0000', '4. close': '4272.2500', '5. volume': '95249'}"
2024-10-04,,"{'1. open': '4225.0000', '2. high': '4299.0000', '3. low': '4224.6499', '4. close': '4249.1001', '5. volume': '226516'}"
2024-10-03,,"{'1. open': '4277.9502', '2. high': '4277.9502', '3. low': '4209.2998', '4. close': '4232.3999', '5. volume': '89286'}"
2024-10-01,,"{'1. open': '4255.0000', '2. high': '4295.2002', '3. low': '4243.1001', '4. close': '4286.2998', '5. volume': '126596'}"
2024-09-30,,"{'1. open': '4294.9502', '2. high': '4296.4502', '3. low': '4259.8501', '4. close': '4268.3999', '5. volume': '52596'}"
2024-09-27,,"{'1. open': '4343.3501', '2. high': '4378.4502', '3. low': '4300.1001', '4. close': '4309.0498', '5. volume': '86656'}"
2024-09-26,,"{'1. open': '4255.0000', '2. high': '4316.3501', '3. low': '4255.0000', '4. close': '4291.2500', '5. volume': '66991'}"
2024-09-25,,"{'1. open': '4257.9502', '2. high': '4289.0000', '3. low': '4240.0000', '4. close': '4275.9502', '5. volume': '61267'}"
2024-09-24,,"{'1. open': '4264.9502', '2. high': '4290.0000', '3. low': '4243.3501', '4. close': '4272.3999', '5. volume': '25648'}"
2024-09-23,,"{'1. open': '4286.0498', '2. high': '4303.9502', '3. low': '4252.7002', '4. close': '4267.5498', '5. volume': '53740'}"
2024-09-20,,"{'1. open': '4320.9502', '2. high': '4331.2002', '3. low': '4226.6001', '4. close': '4285.2998', '5. volume': '503940'}"
2024-09-19,,"{'1. open': '4397.7500', '2. high': '4421.0000', '3. low': '4282.8999', '4. close': '4296.8501', '5. volume': '81459'}"
2024-09-18,,"{'1. open': '4516.9502', '2. high': '4516.9502', '3. low': '4321.6499', '4. close': '4346.6001', '5. volume': '68843'}"
2024-09-17,,"{'1. open': '4505.1499', '2. high': '4535.0000', '3. low': '4468.7500', '4. close': '4503.6499', '5. volume': '17791'}"
2024-09-16,,"{'1. open': '4530.0000', '2. high': '4544.7998', '3. low': '4495.9502', '4. close': '4513.0000', '5. volume': '16633'}"
2024-09-13,,"{'1. open': '4530.0000', '2. high': '4546.5000', '3. low': '4505.7500', '4. close': '4522.2500', '5. volume': '126778'}"
2024-09-12,,"{'1. open': '4501.5498', '2. high': '4530.2002', '3. low': '4431.7002', '4. close': '4517.2002', '5. volume': '39658'}"
2024-09-11,,"{'1. open': '4520.0000', '2. high': '4548.0000', '3. low': '4473.6001', '4. close': '4485.2500', '5. volume': '21662'}"
2024-09-10,,"{'1. open': '4453.0000', '2. high': '4539.9502', '3. low': '4441.0000', '4. close': '4506.8999', '5. volume': '68749'}"
2024-09-09,,"{'1. open': '4401.1001', '2. high': '4490.0000', '3. low': '4401.1001', '4. close': '4453.0000', '5. volume': '39832'}"
2024-09-06,,"{'1. open': '4479.9502', '2. high': '4517.7998', '3. low': '4440.2500', '4. close': '4457.5000', '5. volume': '197568'}"
2024-09-05,,"{'1. open': '4484.0000', '2. high': '4498.0000', '3. low': '4455.0000', '4. close': '4480.3501', '5. volume': '26026'}"
2024-09-04,,"{'1. open': '4479.0000', '2. high': '4486.4502', '3. low': '4438.3501', '4. close': '4479.6499', '5. volume': '91069'}"
2024-09-03,,"{'1. open': '4540.1001', '2. high': '4555.0000', '3. low': '4495.5000', '4. close': '4512.2002', '5. volume': '73169'}"
2024-09-02,,"{'1. open': '4584.8501', '2. high': '4585.8999', '3. low': '4513.7500', '4. close': '4520.8501', '5. volume': '28256'}"
2024-08-30,,"{'1. open': '4513.0498', '2. high': '4580.0000', '3. low': '4488.7002', '4. close': '4551.8501', '5. volume': '141415'}"
2024-08-29,,"{'1. open': '4450.0000', '2. high': '4555.0000', '3. low': '4450.0000', '4. close': '4510.5498', '5. volume': '50690'}"
2024-08-28,,"{'1. open': '4500.0000', '2. high': '4563.1499', '3. low': '4457.8501', '4. close': '4506.7500', '5. volume': '72249'}"
2024-08-27,,"{'1. open': '4501.1499', '2. high': '4501.1499', '3. low': '4501.1499', '4. close': '4501.1499', '5. volume': '0'}"
2024-08-26,,"{'1. open': '4480.2998', '2. high': '4551.0000', '3. low': '4480.2998', '4. close': '4501.1499', '5. volume': '155945'}"
2024-08-23,,"{'1. open': '4500.0000', '2. high': '4504.5000', '3. low': '4453.1499', '4. close': '4464.0000', '5. volume': '233214'}"
2024-08-22,,"{'1. open': '4564.0000', '2. high': '4564.0000', '3. low': '4497.3501', '4. close': '4499.9502', '5. volume': '81625'}"
2024-08-21,,"{'1. open': '4501.0498', '2. high': '4558.7998', '3. low': '4500.0000', '4. close': '4551.7002', '5. volume': '74833'}"
2024-08-20,,"{'1. open': '4503.0000', '2. high': '4564.7500', '3. low': '4500.0000', '4. close': '4522.5498', '5. volume': '53774'}"
2024-08-19,,"{'1. open': '4417.8999', '2. high': '4493.0000', '3. low': '4390.4502', '4. close': '4489.3501', '5. volume': '91876'}"
2024-08-16,,"{'1. open': '4353.9502', '2. high': '4427.8999', '3. low': '4327.2500', '4. close': '4416.5498', '5. volume': '183439'}"
2024-08-14,,"{'1. open': '4206.1499', '2. high': '4304.2002', '3. low': '4190.8999', '4. close': '4291.6499', '5. volume': '115005'}"
2024-08-13,,"{'1. open': '4211.0498', '2. high': '4232.8501', '3. low': '4183.6001', '4. close': '4195.0000', '5. volume': '33895'}"
2024-08-12,,"{'1. open': '4239.7998', '2. high': '4239.7998', '3. low': '4188.8501', '4. close': '4196.1001', '5. volume': '46631'}"
2024-08-09,,"{'1. open': '4227.9502', '2. high': '4251.5000', '3. low': '4215.0000', '4. close': '4230.0498', '5. volume': '169602'}"
2024-08-08,,"{'1. open': '4178.0000', '2. high': '4231.0000', '3. low': '4160.5000', '4. close': '4170.8999', '5. volume': '65387'}"
2024-08-07,,"{'1. open': '4220.0498', '2. high': '4242.0000', '3. low': '4181.0000', '4. close': '4200.7998', '5. volume': '14407'}"
2024-08-06,,"{'1. open': '4162.6001', '2. high': '4256.0000', '3. low': '4160.1499', '4. close': '4170.7002', '5. volume': '69313'}"
2024-08-05,,"{'1. open': '4200.0498', '2. high': '4233.4502', '3. low': '4110.7998', '4. close': '4155.2998', '5. volume': '53458'}"
2024-08-02,,"{'1. open': '4363.0000', '2. high': '4397.3999', '3. low': '4268.2998', '4. close': '4283.0000', '5. volume': '311400'}"
2024-08-01,,"{'1. open': '4399.7500', '2. high': '4419.0000', '3. low': '4365.6499', '4. close': '4395.7500', '5. volume': '75476'}"
2024-07-31,,"{'1. open': '4363.9502', '2. high': '4414.3999', '3. low': '4348.2998', '4. close': '4384.6499', '5. volume': '49127'}"
2024-07-30,,"{'1. open': '4381.2500', '2. high': '4397.9502', '3. low': '4327.5000', '4. close': '4364.2500', '5. volume': '32025'}"
2024-07-29,,"{'1. open': '4421.8501', '2. high': '4431.2500', '3. low': '4370.7998', '4. close': '4380.2002', '5. volume': '65907'}"
2024-07-26,,"{'1. open': '4331.0498', '2. high': '4421.5000', '3. low': '4331.0498', '4. close': '4387.9502', '5. volume': '406430'}"
2024-07-25,,"{'1. open': '4296.9502', '2. high': '4343.9502', '3. low': '4276.5000', '4. close': '4322.8999', '5. volume': '56996'}"
2024-07-24,,"{'1. open': '4281.0498', '2. high': '4339.0000', '3. low': '4277.2500', '4. close': '4306.2002', '5. volume': '112849'}"
2024-07-23,,"{'1. open': '4298.9502', '2. high': '4360.0000', '3. low': '4265.5498', '4. close': '4302.5000', '5. volume': '69621'}"
2024-07-22,,"{'1. open': '4295.0498', '2. high': '4318.0000', '3. low': '4265.0000', '4. close': '4286.2002', '5. volume': '90087'}"
2024-07-19,,"{'1. open': '4314.2998', '2. high': '4360.2500', '3. low': '4286.1499', '4. close': '4302.7500', '5. volume': '239493'}"
2024-07-18,,"{'1. open': '4159.9502', '2. high': '4324.2998', '3. low': '4159.9502', '4. close': '4314.2998', '5. volume': '289927'}"
2024-07-16,,"{'1. open': '4180.0000', '2. high': '4193.3501', '3. low': '4144.6499', '4. close': '4175.3501', '5. volume': '177807'}"
2024-07-15,,"{'1. open': '4225.6001', '2. high': '4237.0498', '3. low': '4158.0000', '4. close': '4168.0000', '5. volume': '158248'}"
2024-07-12,,"{'1. open': '4001.1499', '2. high': '4199.0000', '3. low': '3974.1001', '4. close': '4184.8999', '5. volume': '589314'}"
2024-07-11,,"{'1. open': '3944.6499', '2. high': '3979.8999', '3. low': '3895.7000', '4. close': '3922.7000', '5. volume': '551198'}"
2024-07-10,,"{'1. open': '3978.0500', '2. high': '4003.0000', '3. low': '3902.2000', '4. close': '3909.8999', '5. volume': '214484'}"
2024-07-09,,"{'1. open': '3976.1001', '2. high': '4011.0000', '3. low': '3976.0000', '4. close': '3991.7000', '5. volume': '46214'}"
2024-07-08,,"{'1. open': '4015.0500', '2. high': '4026.3000', '3. low': '3910.0000', '4. close': '3975.9500', '5. volume': '92000'}"
2024-07-05,,"{'1. open': '4014.9500', '2. high': '4026.8000', '3. low': '3988.0000', '4. close': '4012.4500', '5. volume': '305014'}"
2024-07-04,,"{'1. open': '4004.9500', '2. high': '4047.7500', '3. low': '3979.3501', '4. close': '4021.2500', '5. volume': '56861'}"
2024-07-03,,"{'1. open': '4020.0000', '2. high': '4020.8501', '3. low': '3954.4500', '4. close': '3964.8501', '5. volume': '40378'}"
2024-07-02,,"{'1. open': '3990.0000', '2. high': '4022.0000', '3. low': '3984.0000', '4. close': '4016.0000', '5. volume': '50665'}"
2024-07-01,,"{'1. open': '3904.0000', '2. high': '4000.9500', '3. low': '3886.0500', '4. close': '3973.3999', '5. volume': '155437'}"
2024-06-28,,"{'1. open': '3927.5000', '2. high': '3959.9500', '3. low': '3896.3999', '4. close': '3904.9500', '5. volume': '299222'}"
2024-06-27,,"{'1. open': '3825.0000', '2. high': '3940.0000', '3. low': '3819.1001', '4. close': '3933.5000', '5. volume': '200853'}"
2024-06-26,,"{'1. open': '3840.3501', '2. high': '3865.0000', '3. low': '3840.3501', '4. close': '3856.0500', '5. volume': '81411'}"
2024-06-25,,"{'1. open': '3820.0000', '2. high': '3846.8999', '3. low': '3793.7000', '4. close': '3839.1001', '5. volume': '52324'}"
2024-06-24,,"{'1. open': '3810.7500', '2. high': '3856.0000', '3. low': '3798.0000', '4. close': '3817.3000', '5. volume': '31624'}"
2024-06-21,,"{'1. open': '3848.9500', '2. high': '3877.1001', '3. low': '3797.3000', '4. close': '3808.9500', '5. volume': '345408'}"
2024-06-20,,"{'1. open': '3801.0000', '2. high': '3809.3501', '3. low': '3780.1001', '4. close': '3786.6001', '5. volume': '29584'}"
2024-06-19,,"{'1. open': '3821.5000', '2. high': '3832.5500', '3. low': '3794.0000', '4. close': '3801.1001', '5. volume': '29711'}"
2024-06-18,,"{'1. open': '3822.1499', '2. high': '3842.0000', '3. low': '3797.3501', '4. close': '3814.7500', '5. volume': '40767'}"
2024-06-14,,"{'1. open': '3885.3000', '2. high': '3887.0000', '3. low': '3826.4500', '4. close': '3831.9500', '5. volume': '66905'}"
2024-06-13,,"{'1. open': '3859.2500', '2. high': '3889.9500', '3. low': '3853.7500', '4. close': '3877.5000', '5. volume': '79595'}"
2024-06-12,,"{'1. open': '3879.6499', '2. high': '3893.3000', '3. low': '3827.2000', '4. close': '3832.3999', '5. volume': '23859'}"
2024-06-11,,"{'1. open': '3861.9500', '2. high': '3878.0000', '3. low': '3842.0000', '4. close': '3852.0500', '5. volume': '27087'}"
2024-06-10,,"{'1. open': '3904.9500', '2. high': '3904.9500', '3. low': '3842.0000', '4. close': '3856.3000', '5. volume': '36808'}"
2024-06-07,,"{'1. open': '3835.0000', '2. high': '3915.0000', '3. low': '3835.0000', '4. close': '3892.8999', '5. volume': '429643'}"
2024-06-06,,"{'1. open': '3776.0000', '2. high': '3839.0000', '3. low': '3742.0000', '4. close': '3830.7000', '5. volume': '101962'}"
2024-06-05,,"{'1. open': '3715.0000', '2. high': '3783.6001', '3. low': '3700.0000', '4. close': '3746.6001', '5. volume': '104806'}"
2024-06-04,,"{'1. open': '3719.9500', '2. high': '3743.8501', '3. low': '3593.3000', '4. close': '3715.8000', '5. volume': '200551'}"
